protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
4.86,0.169,0.065,0,0.0007,0.216,18.6,0,1.41,74.1,105,0.909,0.387,0.04
3.98,0.138,0.053,0,0.0006,0.177,18.64,18.64,1.15,75.3,99,0.742,0.316,0.033
3.98,0.138,0.053,0,0.0006,0.177,18.64,18.64,1.15,75.3,99,0.742,0.316,0.033
4.86,0.152,0.058,0,0.0007,0.194,18.6,2.9,1.41,74.1,105,0.909,0.387,0.04
4.86,0.152,0.058,0,0.0007,0.194,18.6,2.9,1.41,74.1,105,0.909,0.387,0.04
5.25,0.183,0.07,0,0.0008,0.234,7.04,7.04,1.55,85.07,63,1,0.426,0.044
5.73,0.199,0.077,0,0.0009,0.255,7.68,7.68,0.18,85.23,56,0.116,0.049,0.005
3.47,0.121,0.046,0,0.0005,0.155,4.66,4.66,3.25,87.9,61,2.096,0.893,0.092
3.86,0.143,0.059,0,0.0011,0.177,7.5,7.5,0.18,87.43,43,0.116,0.049,0.005
3.86,0.143,0.059,0,0.0011,0.177,7.5,7.5,0.18,87.43,43,0.116,0.049,0.005
4.93,0.171,0.066,0,0.0008,0.219,13.8,13.8,1.25,79,85,0.806,0.343,0.036
4.93,0.171,0.066,0,0.0008,0.219,13.8,13.8,1.25,79,85,0.806,0.343,0.036
3.15,0.177,0.004,1.6,0.018,0.295,2.65,0.3,0.64,92.06,23,0.041,0.088,0.389
0,0,8.068,18.8,0.045,0,56.29,18.76,0,5.7,188,0,0,0
2.36,0.04,2.964,3.2,0.0043,0.04,4.89,0.41,0.86,83.85,23,0.233,0.063,0.304
3.46,0.208,0.061,2.1,0.085,0.738,7.02,0,1.12,85.95,43,0.06,0.802,0.095
1.18,0.056,0.314,3.3,0.0249,0.246,11.29,7.99,0.69,85.08,48,0.09,0.13,0.339
4.37,0.058,1.135,3.3,0.0015,0.138,5.33,0.86,4.01,82.65,67,0.248,2.627,0.954
3.75,0.243,0.031,8,0.0318,0.569,14.89,0,0.94,78.65,70,0.246,0.033,0.508
3.31,0.317,0.026,14.1,0.0218,0.668,20.7,0,5.86,67.77,131,2.838,1.16,0.901
0,0.024,38.758,0,0,0.008,0,0,0,0.2,0,0,0,0
19.93,1.488,0.344,29.8,0,1.924,52.04,0,6.03,11.3,285,1.577,0.21,3.257
3.29,0.199,0.03,6.8,0.0133,0.458,8.41,0,0.73,85.55,44,0.191,0.025,0.394
